Parameter Name,Value
General Information,
Sample name:,44
Start of measurement:,19*03*2015 14:15:57
Stop of measurement:,07*04*2015 08:35:57
Duration of Measurements:,18 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,185.06
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,7
Subaddress:,1
Serial number:,760
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,19*03*2015 14:15:57
Tension top Air Entry Point,01*04*2015 01:25:57
Tension bottom Air Entry Point,01*04*2015 14:15:57
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.400321255726029
Dry soil weight [g]:,333.2
Additional Soil Paramters,
Density [g/cm3]:,1.34
Porosity [-]:,0.49
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
19*03*2015 14:15:57,-0.36,2.38,18.09
19*03*2015 14:16:57,-0.3,2.24,18.13
19*03*2015 14:17:57,-0.04,2.62,18.16
19*03*2015 14:18:57,-0.18,2.29,18.16
19*03*2015 14:19:57,-0.14,2.35,18.2
19*03*2015 14:20:57,-0.01,2.51,18.23
19*03*2015 14:21:57,0.13,2.53,18.27
19*03*2015 14:22:57,0.29,2.7,18.27
19*03*2015 14:23:57,0.41,2.67,18.3
19*03*2015 14:24:57,0.56,2.78,18.3
19*03*2015 14:25:57,0.63,2.81,18.37
19*03*2015 14:26:57,0.75,2.89,18.37
19*03*2015 14:27:57,0.84,2.96,18.4
19*03*2015 14:28:57,0.96,3.02,18.4
19*03*2015 14:29:57,1,3.29,18.44
19*03*2015 14:30:57,1.19,3.24,18.44
19*03*2015 14:31:57,1.26,3.33,18.44
19*03*2015 14:32:57,1.38,3.41,18.47
19*03*2015 14:33:57,1.51,3.49,18.47
19*03*2015 14:34:57,1.61,3.59,18.47
19*03*2015 14:35:57,1.7,3.44,18.51
19*03*2015 14:36:57,1.78,3.76,18.51
19*03*2015 14:37:57,1.94,3.87,18.51
19*03*2015 14:38:57,1.99,3.99,18.54
19*03*2015 14:39:57,2.19,4.17,18.51
19*03*2015 14:40:57,2.26,4.21,18.51
19*03*2015 14:41:57,2.42,4.42,18.54
19*03*2015 14:42:57,2.47,4.43,18.54
19*03*2015 14:43:57,2.57,4.47,18.54
19*03*2015 14:44:57,2.63,4.47,18.54
19*03*2015 14:45:57,2.78,4.72,18.54
19*03*2015 14:46:57,2.86,4.84,18.54
19*03*2015 14:47:57,2.94,4.97,18.54
19*03*2015 14:48:57,3.18,5.24,18.57
19*03*2015 14:49:57,3.16,5.14,18.54
