Parameter Name,Value
General Information,
Sample name:,47
Start of measurement:,26*02*2015 14:54:13
Stop of measurement:,16*03*2015 09:04:13
Duration of Measurements:,17 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,188.71
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,6
Subaddress:,1
Serial number:,766
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,26*02*2015 14:54:13
Tension top Air Entry Point,07*03*2015 19:04:13
Tension bottom Air Entry Point,11*03*2015 00:44:13
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.333253056169992
Dry soil weight [g]:,398.4
Additional Soil Paramters,
Density [g/cm3]:,1.60
Porosity [-]:,0.40
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
26*02*2015 14:54:13,4.34,6.39,18.74
26*02*2015 14:55:13,4.46,6.54,18.75
26*02*2015 14:57:13,4.67,6.67,18.77
26*02*2015 14:58:13,4.8,6.82,18.78
26*02*2015 14:59:13,4.99,7.01,18.8
26*02*2015 15:00:13,5.15,7.16,18.82
26*02*2015 15:01:13,5.35,7.34,18.83
26*02*2015 15:02:13,5.69,7.58,18.85
26*02*2015 15:03:13,5.65,7.6,18.86
26*02*2015 15:04:13,5.53,7.67,18.87
26*02*2015 15:05:13,6.22,7.88,18.88
26*02*2015 15:06:13,6.09,8.04,18.89
26*02*2015 15:07:13,6.48,8.28,18.9
26*02*2015 15:08:13,6.45,8.36,18.91
26*02*2015 15:09:13,6.56,8.48,18.92
26*02*2015 15:10:13,6.63,8.6,18.92
26*02*2015 15:11:13,6.85,8.75,18.93
26*02*2015 15:12:13,7.01,8.91,18.94
26*02*2015 15:13:13,7.1,8.98,18.94
26*02*2015 15:14:13,7.29,9.18,18.95
26*02*2015 15:15:13,7.54,9.31,18.95
26*02*2015 15:16:13,7.55,9.42,18.95
26*02*2015 15:17:13,7.67,9.55,18.96
26*02*2015 15:18:13,7.75,9.61,18.96
26*02*2015 15:19:13,7.94,9.77,18.96
26*02*2015 15:20:13,8.04,9.9,18.96
26*02*2015 15:21:13,8.39,10.11,18.96
26*02*2015 15:22:13,8.38,10.27,18.96
26*02*2015 15:23:13,8.54,10.36,18.97
26*02*2015 15:24:13,8.65,10.47,18.97
26*02*2015 15:25:13,8.8,10.63,18.97
26*02*2015 15:26:13,8.94,10.77,18.97
26*02*2015 15:27:13,9.12,10.95,18.97
26*02*2015 15:28:13,9.25,11.09,18.97
26*02*2015 15:29:13,9.41,11.26,18.97
26*02*2015 15:30:13,9.78,11.43,18.97
26*02*2015 15:31:13,9.73,11.57,18.96
26*02*2015 15:32:13,9.9,11.73,18.96
26*02*2015 15:33:13,10.04,11.87,18.96
26*02*2015 15:34:13,10.23,11.92,18.96
26*02*2015 15:35:13,10.3,12.14,18.96
26*02*2015 15:36:13,10.47,12.29,18.96
26*02*2015 15:37:13,10.64,12.48,18.95
26*02*2015 15:38:13,10.78,12.61,18.95
26*02*2015 15:39:13,11.06,12.76,18.95
26*02*2015 15:40:13,11.2,13.11,18.95
26*02*2015 15:41:13,11.34,13.25,18.94
26*02*2015 15:42:13,11.46,13.21,18.94
26*02*2015 15:43:13,11.62,13.36,18.94
26*02*2015 15:44:13,11.71,13.54,18.93
26*02*2015 15:45:13,11.87,13.7,18.93
26*02*2015 15:46:13,12.12,13.9,18.93
26*02*2015 15:47:13,12.15,13.97,18.92
26*02*2015 15:48:13,12.32,14.17,18.92
26*02*2015 15:49:13,12.56,14.25,18.92
26*02*2015 15:50:13,12.6,14.45,18.91
26*02*2015 15:51:13,12.79,14.63,18.91
26*02*2015 15:52:13,12.89,14.75,18.9
26*02*2015 15:53:13,13.01,14.85,18.9
26*02*2015 15:54:13,13.17,15.01,18.9
26*02*2015 16:04:13,14.54,16.41,18.85
26*02*2015 16:14:13,15.91,17.79,18.8
26*02*2015 16:24:13,17.32,19.2,18.75
26*02*2015 16:34:13,18.65,20.31,18.7
26*02*2015 16:44:13,20.09,22.03,18.64
26*02*2015 16:54:13,21.2,23.09,18.59
26*02*2015 17:04:13,22.49,24.39,18.54
26*02*2015 17:14:13,23.52,25.36,18.5
26*02*2015 17:24:13,24.48,26.3,18.46
26*02*2015 17:34:13,24.77,26.47,18.42
26*02*2015 17:44:13,25.12,26.92,18.38
26*02*2015 17:54:13,26.44,28.27,18.35
26*02*2015 18:04:13,26.15,27.99,18.31
26*02*2015 18:14:13,27.17,28.99,18.28
26*02*2015 18:24:13,27.94,29.74,18.25
26*02*2015 18:34:13,28.94,30.73,18.22
26*02*2015 18:44:13,29.6,31.4,18.19
26*02*2015 18:54:13,30.46,32.24,18.15
26*02*2015 19:04:13,31.3,33.06,18.12
26*02*2015 19:14:13,31.76,33.53,18.1
26*02*2015 19:24:13,32.28,34,18.07
26*02*2015 19:34:13,32.87,34.72,18.04
26*02*2015 19:44:13,31.9,33.7,18.02
26*02*2015 19:54:13,23.28,25.11,18
26*02*2015 20:04:13,24.27,25.98,17.97
26*02*2015 20:14:13,24.94,26.75,17.95
26*02*2015 20:24:13,25.75,27.53,17.94
26*02*2015 20:34:13,24.38,26.17,17.93
26*02*2015 20:44:13,26.09,27.86,17.91
26*02*2015 20:54:13,26.87,28.64,17.89
26*02*2015 21:04:13,27.88,29.65,17.87
26*02*2015 21:14:13,28.77,30.53,17.85
26*02*2015 21:24:13,29.56,31.36,17.83
26*02*2015 21:34:13,30.31,32.09,17.82
26*02*2015 21:44:13,30.96,32.75,17.8
26*02*2015 21:54:13,30.54,32.32,17.77
26*02*2015 22:04:13,31.37,33.15,17.74
26*02*2015 22:14:13,31.54,33.33,17.72
26*02*2015 22:24:13,32.04,33.85,17.7
26*02*2015 22:34:13,32.7,34.49,17.68
26*02*2015 22:44:13,33.29,35.1,17.66
26*02*2015 22:54:13,33.77,35.57,17.63
26*02*2015 23:04:13,34.42,36.22,17.61
26*02*2015 23:14:13,34.67,36.46,17.59
26*02*2015 23:24:13,35.31,37.11,17.56
26*02*2015 23:34:13,35.83,37.64,17.54
26*02*2015 23:44:13,36.26,38.06,17.52
26*02*2015 23:54:13,35.28,37.03,17.5
27*02*2015 00:04:13,36.73,38.55,17.48
27*02*2015 00:14:13,37.23,38.91,17.46
27*02*2015 00:24:13,37.9,39.72,17.44
27*02*2015 00:34:13,38.43,40.26,17.42
27*02*2015 00:44:13,39.01,40.84,17.4
27*02*2015 00:54:13,39.58,41.42,17.38
27*02*2015 01:04:13,39.86,41.69,17.36
27*02*2015 01:14:13,40.6,42.43,17.34
27*02*2015 01:24:13,41.03,42.86,17.33
27*02*2015 01:34:13,41.66,43.48,17.31
27*02*2015 01:44:13,42.22,44.05,17.3
27*02*2015 01:54:13,42.81,44.63,17.28
27*02*2015 02:04:13,43.2,45.07,17.26
27*02*2015 02:14:13,43.96,45.8,17.24
27*02*2015 02:24:13,44.57,46.41,17.22
27*02*2015 02:34:13,45.19,47.04,17.2
27*02*2015 02:44:13,45.87,47.71,17.18
27*02*2015 02:54:13,46.39,48.24,17.15
27*02*2015 03:04:13,46.98,48.83,17.14
27*02*2015 03:14:13,47.68,49.53,17.12
27*02*2015 03:24:13,48.29,50.14,17.1
27*02*2015 03:34:13,47.87,49.73,17.08
27*02*2015 03:44:13,48.77,50.63,17.07
27*02*2015 03:54:13,49.38,51.26,17.05
27*02*2015 04:04:13,50.05,51.92,17.04
27*02*2015 04:14:13,50.56,52.43,17.02
27*02*2015 04:24:13,51.15,53.04,17.01
27*02*2015 04:34:13,51.7,53.59,17
27*02*2015 04:44:13,52.22,54.11,16.99
27*02*2015 04:54:13,52.83,54.71,16.98
27*02*2015 05:04:13,53.38,55.27,16.96
27*02*2015 05:14:13,53.92,55.81,16.95
27*02*2015 05:24:13,54.46,56.36,16.94
27*02*2015 05:34:13,55.02,56.91,16.93
27*02*2015 05:44:13,55.64,57.54,16.92
27*02*2015 05:54:13,56.2,58.1,16.9
27*02*2015 06:04:13,56.76,58.67,16.89
27*02*2015 06:14:13,57.4,59.3,16.88
27*02*2015 06:24:13,57.89,59.8,16.86
27*02*2015 06:34:13,58.35,60.25,16.84
27*02*2015 06:44:13,58.95,60.87,16.83
27*02*2015 06:54:13,59.38,61.3,16.81
27*02*2015 07:04:13,59.78,61.71,16.81
27*02*2015 07:14:13,60.28,62.19,16.81
27*02*2015 07:24:13,60.74,62.64,16.8
27*02*2015 07:34:13,61.13,63.05,16.8
27*02*2015 07:44:13,61.6,63.53,16.79
27*02*2015 07:54:13,62.17,64.1,16.78
27*02*2015 08:04:13,62.62,64.55,16.77
27*02*2015 08:14:13,63.05,64.92,16.77
27*02*2015 08:24:13,63.51,65.43,16.76
27*02*2015 08:34:13,63.78,65.72,16.76
27*02*2015 08:44:13,64.36,66.32,16.76
27*02*2015 08:54:13,64.4,66.39,16.82
27*02*2015 09:04:13,65.24,67.19,16.85
27*02*2015 09:14:13,65.76,67.71,16.86
27*02*2015 09:24:13,66.34,68.31,16.86
27*02*2015 09:34:13,66.92,68.87,16.87
27*02*2015 09:44:13,67.54,69.54,16.87
27*02*2015 09:54:13,67.94,69.93,16.89
