Parameter Name,Value
General Information,
Sample name:,2791
Start of measurement:,12*11*2014 14:55:47
Stop of measurement:,28*11*2014 09:15:47
Duration of Measurements:,15 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,189
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,7
Subaddress:,1
Serial number:,760
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,12*11*2014 14:55:47
Tension top Air Entry Point,22*11*2014 09:05:47
Tension bottom Air Entry Point,24*11*2014 02:45:47
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.334015995623117
Dry soil weight [g]:,398.85
Additional Soil Paramters,
Density [g/cm3]:,1.60
Porosity [-]:,0.40
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
12*11*2014 14:55:47,0.94,2.51,18.57
12*11*2014 14:56:47,1.01,2.57,18.61
12*11*2014 14:57:47,1.1,2.63,18.68
12*11*2014 14:58:47,1.07,2.46,18.64
12*11*2014 14:59:47,1.08,2.52,18.68
12*11*2014 15:00:47,1.02,2.65,18.71
12*11*2014 15:01:47,1.19,2.69,18.74
12*11*2014 15:02:47,1.18,2.86,18.78
12*11*2014 15:03:47,1.25,2.89,18.78
12*11*2014 15:04:47,1.13,2.96,18.81
12*11*2014 15:05:47,1.41,3.14,18.85
12*11*2014 15:06:47,1.15,3.06,18.88
12*11*2014 15:07:47,1.57,3.14,18.88
12*11*2014 15:08:47,1.63,3.22,18.88
12*11*2014 15:09:47,1.57,3.37,18.92
12*11*2014 15:10:47,1.78,3.46,18.92
12*11*2014 15:11:47,1.81,3.57,18.95
12*11*2014 15:12:47,1.91,3.67,18.95
12*11*2014 15:13:47,1.87,3.74,18.98
12*11*2014 15:14:47,2.23,3.81,18.98
12*11*2014 15:15:47,2.22,3.99,18.98
12*11*2014 15:16:47,2.36,4.11,19.02
12*11*2014 15:17:47,2.43,4.25,19.02
12*11*2014 15:18:47,2.49,4.35,19.02
12*11*2014 15:19:47,2.63,4.46,19.05
12*11*2014 15:20:47,2.87,4.6,19.05
12*11*2014 15:21:47,2.86,4.66,19.09
12*11*2014 15:22:47,3.04,4.63,19.09
12*11*2014 15:23:47,3.24,4.88,19.09
12*11*2014 15:24:47,3.16,4.94,19.09
12*11*2014 15:25:47,3.27,5.07,19.09
12*11*2014 15:26:47,3.33,5.19,19.09
12*11*2014 15:27:47,3.67,5.37,19.09
12*11*2014 15:28:47,3.52,5.52,19.12
12*11*2014 15:29:47,3.74,5.59,19.09
12*11*2014 15:30:47,3.85,5.74,19.12
12*11*2014 15:31:47,3.96,5.83,19.12
12*11*2014 15:32:47,4.11,5.97,19.12
12*11*2014 15:33:47,4.22,6.12,19.12
12*11*2014 15:34:47,4.32,6.28,19.15
12*11*2014 15:35:47,4.59,6.47,19.15
12*11*2014 15:36:47,4.66,6.61,19.12
12*11*2014 15:37:47,4.81,6.69,19.15
12*11*2014 15:38:47,4.95,6.89,19.15
12*11*2014 15:39:47,5.07,7.06,19.15
12*11*2014 15:40:47,5.18,7.21,19.15
12*11*2014 15:41:47,5.47,7.36,19.15
12*11*2014 15:42:47,5.62,7.49,19.15
12*11*2014 15:43:47,5.71,7.64,19.15
12*11*2014 15:44:47,5.96,7.79,19.15
12*11*2014 15:45:47,6.04,7.9,19.15
12*11*2014 15:46:47,6.17,8.01,19.15
12*11*2014 15:47:47,6.27,8.14,19.15
12*11*2014 15:48:47,6.44,8.2,19.15
12*11*2014 15:49:47,6.45,8.33,19.15
12*11*2014 15:50:47,6.6,8.43,19.15
12*11*2014 15:51:47,6.72,8.6,19.15
12*11*2014 15:52:47,6.86,8.73,19.15
12*11*2014 15:53:47,6.94,8.87,19.15
12*11*2014 15:54:47,7.1,9,19.15
12*11*2014 15:55:47,7.43,9.16,19.15
12*11*2014 16:05:47,8.55,10.39,19.15
12*11*2014 16:15:47,9.68,11.59,19.12
12*11*2014 16:25:47,10.82,12.71,19.12
12*11*2014 16:35:47,12.13,14.03,19.05
12*11*2014 16:45:47,13.14,15.11,19.05
12*11*2014 16:55:47,14.44,16.34,19.02
12*11*2014 17:05:47,15.65,17.55,18.98
12*11*2014 17:15:47,16.84,18.78,18.95
12*11*2014 17:25:47,17.73,19.82,18.92
12*11*2014 17:35:47,19.05,20.96,18.88
12*11*2014 17:45:47,20.1,22.09,18.85
12*11*2014 17:55:47,21.23,23.28,18.85
12*11*2014 18:05:47,22.32,24.38,18.81
12*11*2014 18:15:47,23.32,25.45,18.78
12*11*2014 18:25:47,24.66,26.7,18.74
12*11*2014 18:35:47,25.63,27.71,18.71
12*11*2014 18:45:47,26.8,28.86,18.68
12*11*2014 18:55:47,27.94,30.08,18.68
12*11*2014 19:05:47,19.56,21.6,18.61
12*11*2014 19:15:47,21.05,23.09,18.57
12*11*2014 19:25:47,22.19,24.36,18.54
12*11*2014 19:35:47,23.41,25.58,18.51
12*11*2014 19:45:47,17.2,19.42,18.47
12*11*2014 19:55:47,19.55,21.75,18.47
12*11*2014 20:05:47,16.66,18.77,18.44
12*11*2014 20:15:47,17.4,19.57,18.4
12*11*2014 20:25:47,18.41,20.6,18.37
