Parameter Name,Value
General Information,
Sample name:,2788
Start of measurement:,12*11*2014 14:55:47
Stop of measurement:,28*11*2014 09:15:47
Duration of Measurements:,15 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,190.9
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,8
Subaddress:,1
Serial number:,763
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,12*11*2014 14:55:47
Tension top Air Entry Point,24*11*2014 19:15:47
Tension bottom Air Entry Point,26*11*2014 12:45:47
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.371927652014307
Dry soil weight [g]:,349.32
Additional Soil Paramters,
Density [g/cm3]:,1.40
Porosity [-]:,0.47
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
12*11*2014 14:55:47,-3.61,-1.6,19.18
12*11*2014 14:56:47,-3.57,-1.58,19.2
12*11*2014 14:57:47,-3.54,-1.55,19.22
12*11*2014 14:58:47,-3.84,-1.79,19.24
12*11*2014 14:59:47,-3.61,-1.63,19.25
12*11*2014 15:00:47,-3.56,-1.55,19.27
12*11*2014 15:01:47,-3.55,-1.54,19.3
12*11*2014 15:02:47,-3.49,-1.51,19.32
12*11*2014 15:03:47,-3.45,-1.49,19.34
12*11*2014 15:04:47,-3.39,-1.46,19.37
12*11*2014 15:05:47,-3.28,-1.42,19.39
12*11*2014 15:06:47,-3.34,-1.43,19.41
12*11*2014 15:07:47,-3.33,-1.37,19.43
12*11*2014 15:08:47,-3.31,-1.38,19.44
12*11*2014 15:09:47,-3.23,-1.32,19.46
12*11*2014 15:10:47,-3.2,-1.32,19.48
12*11*2014 15:11:47,-3.19,-1.28,19.49
12*11*2014 15:12:47,-3.14,-1.29,19.5
12*11*2014 15:13:47,-3.13,-1.21,19.52
12*11*2014 15:14:47,-3.14,-1.23,19.53
12*11*2014 15:15:47,-3.08,-1.18,19.54
12*11*2014 15:16:47,-3.06,-1.14,19.55
12*11*2014 15:17:47,-3.02,-1.12,19.56
12*11*2014 15:18:47,-3.01,-1.1,19.57
12*11*2014 15:19:47,-2.99,-1.08,19.58
12*11*2014 15:20:47,-2.93,-1.06,19.59
12*11*2014 15:21:47,-2.93,-1.06,19.6
12*11*2014 15:22:47,-2.93,-1.01,19.61
12*11*2014 15:23:47,-2.9,-0.98,19.61
12*11*2014 15:24:47,-2.88,-0.98,19.62
12*11*2014 15:25:47,-2.86,-0.98,19.63
12*11*2014 15:26:47,-2.84,-0.97,19.63
12*11*2014 15:27:47,-2.79,-0.93,19.64
12*11*2014 15:28:47,-2.77,-0.9,19.64
12*11*2014 15:29:47,-2.79,-0.86,19.65
12*11*2014 15:30:47,-2.76,-0.89,19.66
12*11*2014 15:31:47,-2.77,-0.84,19.66
12*11*2014 15:32:47,-2.75,-0.82,19.67
12*11*2014 15:33:47,-2.72,-0.82,19.67
12*11*2014 15:34:47,-2.71,-0.79,19.67
12*11*2014 15:35:47,-2.7,-0.77,19.68
12*11*2014 15:36:47,-2.68,-0.75,19.68
12*11*2014 15:37:47,-2.7,-0.76,19.68
12*11*2014 15:38:47,-2.66,-0.73,19.68
12*11*2014 15:39:47,-2.66,-0.73,19.69
12*11*2014 15:40:47,-2.65,-0.69,19.69
12*11*2014 15:41:47,-2.63,-0.68,19.69
12*11*2014 15:42:47,-2.63,-0.68,19.69
12*11*2014 15:43:47,-2.6,-0.63,19.69
12*11*2014 15:44:47,-2.57,-0.65,19.69
12*11*2014 15:45:47,-2.6,-0.63,19.7
12*11*2014 15:46:47,-2.56,-0.63,19.7
12*11*2014 15:47:47,-2.56,-0.61,19.7
12*11*2014 15:48:47,-2.54,-0.6,19.7
12*11*2014 15:49:47,-2.53,-0.59,19.7
12*11*2014 15:50:47,-2.53,-0.57,19.7
12*11*2014 15:51:47,-2.5,-0.53,19.7
12*11*2014 15:52:47,-2.47,-0.53,19.69
12*11*2014 15:53:47,-2.45,-0.55,19.69
12*11*2014 15:54:47,-2.44,-0.51,19.69
12*11*2014 15:55:47,-2.42,-0.49,19.69
12*11*2014 16:05:47,-2.22,-0.33,19.67
12*11*2014 16:15:47,-2,-0.17,19.65
12*11*2014 16:25:47,-1.83,-0.01,19.62
12*11*2014 16:35:47,-1.62,0.16,19.58
12*11*2014 16:45:47,-1.4,0.39,19.55
12*11*2014 16:55:47,-1.18,0.59,19.51
12*11*2014 17:05:47,-0.92,0.86,19.47
12*11*2014 17:15:47,-0.68,1.07,19.43
12*11*2014 17:25:47,-0.49,1.3,19.4
12*11*2014 17:35:47,-0.22,1.54,19.36
12*11*2014 17:45:47,-0.02,1.79,19.33
12*11*2014 17:55:47,0.25,2.04,19.3
12*11*2014 18:05:47,0.47,2.25,19.27
12*11*2014 18:15:47,0.72,2.5,19.24
12*11*2014 18:25:47,1,2.79,19.21
12*11*2014 18:35:47,1.26,3.06,19.18
12*11*2014 18:45:47,1.58,3.35,19.15
12*11*2014 18:55:47,1.83,3.62,19.12
12*11*2014 19:05:47,2.19,3.98,19.08
12*11*2014 19:15:47,2.45,4.23,19.05
12*11*2014 19:25:47,2.74,4.56,19.01
12*11*2014 19:35:47,3.05,4.89,18.98
12*11*2014 19:45:47,3.38,5.21,18.95
12*11*2014 19:55:47,3.68,5.52,18.91
12*11*2014 20:05:47,4.01,5.84,18.88
12*11*2014 20:15:47,4.31,6.18,18.85
12*11*2014 20:25:47,4.64,6.51,18.82
12*11*2014 20:35:47,4.95,6.84,18.79
12*11*2014 20:45:47,5.25,7.11,18.75
12*11*2014 20:55:47,5.62,7.51,18.72
12*11*2014 21:05:47,6,7.9,18.68
12*11*2014 21:15:47,6.32,8.23,18.64
12*11*2014 21:25:47,6.69,8.6,18.6
12*11*2014 21:35:47,7.05,8.96,18.57
12*11*2014 21:45:47,7.47,9.36,18.53
12*11*2014 21:55:47,7.82,9.75,18.49
12*11*2014 22:05:47,8.17,10.11,18.45
12*11*2014 22:15:47,8.5,10.46,18.41
12*11*2014 22:25:47,8.87,10.82,18.38
12*11*2014 22:35:47,9.23,11.2,18.34
12*11*2014 22:45:47,9.62,11.54,18.31
12*11*2014 22:55:47,9.97,11.92,18.27
12*11*2014 23:05:47,10.27,12.25,18.24
12*11*2014 23:15:47,10.6,12.61,18.21
12*11*2014 23:25:47,10.96,12.95,18.17
12*11*2014 23:35:47,11.28,13.02,18.14
12*11*2014 23:45:47,11.65,13.66,18.11
12*11*2014 23:55:47,12,14,18.08
13*11*2014 00:05:47,12.11,14.12,18.05
13*11*2014 00:15:47,11.73,13.75,18.03
13*11*2014 00:25:47,12.34,14.35,18
13*11*2014 00:35:47,12.09,14.12,17.97
13*11*2014 00:45:47,12.81,14.84,17.94
13*11*2014 00:55:47,12.66,14.66,17.92
13*11*2014 01:05:47,13.08,15.12,17.89
13*11*2014 01:15:47,13.44,15.47,17.87
13*11*2014 01:25:47,13.91,15.95,17.84
13*11*2014 01:35:47,14.19,16.21,17.82
13*11*2014 01:45:47,14.56,16.63,17.79
13*11*2014 01:55:47,14.92,16.99,17.77
13*11*2014 02:05:47,14.65,16.73,17.75
13*11*2014 02:15:47,15.17,17.24,17.72
13*11*2014 02:25:47,10.23,12.31,17.69
13*11*2014 02:35:47,10.98,13.07,17.67
13*11*2014 02:45:47,11.87,13.95,17.65
13*11*2014 02:55:47,12.57,14.65,17.62
13*11*2014 03:05:47,13.32,15.38,17.6
13*11*2014 03:15:47,13.77,15.84,17.57
13*11*2014 03:25:47,14.16,16.27,17.55
13*11*2014 03:35:47,8.78,10.9,17.52
13*11*2014 03:45:47,9.45,11.55,17.5
13*11*2014 03:55:47,9.99,12.1,17.48
13*11*2014 04:05:47,10.55,12.66,17.45
13*11*2014 04:15:47,11.08,13.17,17.43
13*11*2014 04:25:47,11.69,13.81,17.4
13*11*2014 04:35:47,12.13,14.25,17.37
13*11*2014 04:45:47,12.55,14.68,17.35
13*11*2014 04:55:47,13.12,15.25,17.33
13*11*2014 05:05:47,13.52,15.66,17.3
13*11*2014 05:15:47,13.93,16.07,17.28
13*11*2014 05:25:47,11.97,14.09,17.26
13*11*2014 05:35:47,12.78,14.92,17.23
13*11*2014 05:45:47,13.38,15.54,17.21
13*11*2014 05:55:47,14.07,16.18,17.19
13*11*2014 06:05:47,14.49,16.6,17.17
13*11*2014 06:15:47,14.91,17.03,17.14
13*11*2014 06:25:47,15.05,17.19,17.12
13*11*2014 06:35:47,15.31,17.46,17.1
13*11*2014 06:45:47,15.63,17.79,17.07
13*11*2014 06:55:47,15.74,17.87,17.05
13*11*2014 07:05:47,15.79,17.93,17.02
13*11*2014 07:15:47,16.17,18.32,17
13*11*2014 07:25:47,16.35,18.5,16.99
13*11*2014 07:35:47,16.5,18.62,16.99
13*11*2014 07:45:47,16.41,18.59,16.99
13*11*2014 07:55:47,16.66,18.82,17.01
13*11*2014 08:05:47,16.86,19.06,17.02
13*11*2014 08:15:47,17.12,19.32,17.04
13*11*2014 08:25:47,17.27,19.46,17.06
13*11*2014 08:35:47,17.29,19.49,17.08
13*11*2014 08:45:47,17.33,19.54,17.11
13*11*2014 08:55:47,17.61,19.82,17.13
13*11*2014 09:05:47,17.8,20.01,17.16
13*11*2014 09:15:47,17.91,20.08,17.19
13*11*2014 09:25:47,18.28,20.49,17.22
13*11*2014 09:35:47,18.56,20.78,17.25
13*11*2014 09:45:47,18.66,20.95,17.28
13*11*2014 09:55:47,18.9,21.11,17.31
13*11*2014 10:05:47,19.05,21.25,17.34
13*11*2014 10:15:47,19.35,21.57,17.37
