KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/01/0001
Serial Number	0068

File name	albon_165_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	SteelMeshCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0,5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0,25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0,1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4,59	Standard burette cross-sectional area
A_bur2 [cm²]	0,089	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22,5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0,8	Bottom porous plate height	
L_plate_Top [cm]	0,3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	7/12/2015 9:31:28
Test duration	00:51:32

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6,42
Fitting Parameter b [s-1]	-6,79E-04
Fitting Parameter c [cm]	-1
Fitting Parameter r2 [-]	0,9968
Ks Total [cm/d]	31
Ks Total [m/s]	3,63E-06
Ks Soil [cm/d]	27
Ks Soil [m/s]	3,13E-06
Ks Soil normalized at 10,0 °C [cm/d]	20
Ks Soil normalized at 10,0 °C [m/s]	2,31E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
7/12/2015 9:31:28	187	-3,08	0,632	-99999,000	21,350
7/12/2015 9:31:29	218	-2,05	0,590	-99999,000	21,350
7/12/2015 9:31:30	250	-1,02	3,994	-99999,000	21,350
7/12/2015 9:31:31	265	0,00	7,417	7,417	21,340
7/12/2015 9:31:45	421	14,16	7,295	7,356	21,350
7/12/2015 9:31:54	484	23,22	7,194	7,317	21,350
7/12/2015 9:32:07	859	36,59	7,091	7,260	21,350
7/12/2015 9:32:22	78	50,81	6,989	7,199	21,360
7/12/2015 9:32:40	640	69,37	6,880	7,122	21,370
7/12/2015 9:32:46	312	75,05	6,739	7,098	21,370
7/12/2015 9:33:06	546	95,28	6,629	7,015	21,370
7/12/2015 9:33:23	375	112,11	6,525	6,947	21,370
7/12/2015 9:34:06	843	155,58	6,420	6,774	21,340
7/12/2015 9:34:21	921	170,66	6,297	6,715	21,320
7/12/2015 9:34:55	78	203,81	6,191	6,588	21,340
7/12/2015 9:35:20	515	229,25	5,986	6,492	21,330
7/12/2015 9:36:07	437	276,17	5,831	6,320	21,320
7/12/2015 9:37:02	875	331,61	5,726	6,123	21,340
7/12/2015 9:37:26	546	355,28	5,625	6,042	21,340
7/12/2015 9:38:03	109	391,84	5,522	5,918	21,330
7/12/2015 9:38:29	375	418,11	5,421	5,831	21,310
7/12/2015 9:38:50	468	439,20	5,307	5,763	21,320
7/12/2015 9:39:44	250	492,99	5,200	5,592	21,340
7/12/2015 9:40:12	281	521,02	5,098	5,505	21,310
7/12/2015 9:40:39	421	548,16	4,934	5,423	21,310
7/12/2015 9:41:59	0	627,73	4,832	5,190	21,320
7/12/2015 9:42:18	421	647,16	4,691	5,136	21,340
7/12/2015 9:43:18	265	707,00	4,541	4,971	21,330
7/12/2015 9:44:49	843	798,58	4,440	4,732	21,340
7/12/2015 9:45:04	968	813,70	4,305	4,693	21,340
7/12/2015 9:46:28	859	897,59	4,129	4,489	21,330
7/12/2015 9:47:23	500	952,23	3,994	4,362	21,340
7/12/2015 9:48:30	203	1018,94	3,889	4,213	21,340
7/12/2015 9:50:30	187	1138,92	3,787	3,962	21,340
7/12/2015 9:50:51	328	1160,06	3,668	3,920	21,350
7/12/2015 9:52:34	156	1262,89	3,513	3,723	21,360
7/12/2015 9:54:33	328	1382,06	3,410	3,511	21,350
7/12/2015 9:54:42	468	1391,20	3,275	3,496	21,360
7/12/2015 9:56:20	968	1489,70	3,158	3,334	21,350
7/12/2015 9:58:48	406	1637,14	3,050	3,112	21,370
7/12/2015 9:59:43	937	1692,67	2,942	3,034	21,380
7/12/2015 10:01:49	93	1817,83	2,841	2,868	21,390
7/12/2015 10:02:37	718	1866,45	2,735	2,807	21,380
7/12/2015 10:04:30	796	1979,53	2,612	2,674	21,400
7/12/2015 10:07:07	843	2136,58	2,511	2,505	21,420
7/12/2015 10:07:59	921	2188,66	2,396	2,452	21,420
7/12/2015 10:11:12	109	2380,84	2,295	2,275	21,430
7/12/2015 10:12:57	468	2486,20	2,191	2,187	21,420
7/12/2015 10:14:13	593	2562,33	2,088	2,127	21,430
7/12/2015 10:17:48	453	2777,19	1,980	1,974	21,450
7/12/2015 10:20:24	562	2933,30	1,876	1,876	21,460
7/12/2015 10:23:00	671	3089,41	1,770	-99999,000	21,460

