KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/01/0001
Serial Number	0068

File name	albon_38_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	SteelMeshCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0,5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0,25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0,1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4,59	Standard burette cross-sectional area
A_bur2 [cm²]	0,089	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22,5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0,8	Bottom porous plate height	
L_plate_Top [cm]	0,3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	20/04/2015 14:11:23
Test duration	01:04:20

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6,65
Fitting Parameter b [s-1]	-2,76E-04
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0,9950
Ks Total [cm/d]	13
Ks Total [m/s]	1,47E-06
Ks Soil [cm/d]	11
Ks Soil [m/s]	1,27E-06
Ks Soil normalized at 10,0 °C [cm/d]	8
Ks Soil normalized at 10,0 °C [m/s]	9,36E-07

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
20/04/2015 14:11:23	406	0,00	5,645	5,645	21,310
20/04/2015 14:12:01	546	38,14	5,541	5,576	21,290
20/04/2015 14:12:45	937	82,53	5,437	5,496	21,340
20/04/2015 14:13:29	453	126,05	5,336	5,418	21,330
20/04/2015 14:14:36	156	192,75	5,235	5,301	21,340
20/04/2015 14:15:41	968	258,56	5,133	5,188	21,360
20/04/2015 14:16:30	671	307,26	5,023	5,105	21,370
20/04/2015 14:18:02	312	398,91	4,921	4,953	21,380
20/04/2015 14:18:40	625	437,22	4,728	4,891	21,380
20/04/2015 14:21:23	171	599,76	4,606	4,632	21,420
20/04/2015 14:23:06	218	702,81	4,502	4,475	21,440
20/04/2015 14:23:57	546	754,14	4,396	4,398	21,450
20/04/2015 14:25:45	734	862,33	4,292	4,239	21,460
20/04/2015 14:27:17	609	954,20	4,185	4,108	21,490
20/04/2015 14:28:33	968	1030,56	4,075	4,002	21,490
20/04/2015 14:30:04	125	1120,72	3,946	3,879	21,500
20/04/2015 14:30:17	593	1134,19	3,835	3,861	21,500
20/04/2015 14:33:11	375	1307,97	3,711	3,634	21,520
20/04/2015 14:34:56	968	1413,56	3,599	3,501	21,530
20/04/2015 14:36:05	578	1482,17	3,459	3,416	21,540
20/04/2015 14:38:50	593	1647,19	3,321	3,220	21,560
20/04/2015 14:40:39	656	1756,25	3,218	3,095	21,570
20/04/2015 14:42:24	421	1861,01	3,087	2,979	21,590
20/04/2015 14:45:04	343	2020,94	2,986	2,807	21,600
20/04/2015 14:46:49	93	2125,69	2,885	2,699	21,610
20/04/2015 14:47:05	109	2141,70	2,780	2,682	21,610
20/04/2015 14:49:19	250	2275,84	2,665	2,549	21,630
20/04/2015 14:50:09	828	2326,42	2,489	2,500	21,640
20/04/2015 14:51:33	984	2410,58	2,242	2,419	21,640
20/04/2015 15:00:17	703	2934,30	2,142	1,960	21,690
20/04/2015 15:02:09	437	3046,03	2,039	1,870	21,700
20/04/2015 15:03:25	750	3122,34	1,903	1,810	21,710
20/04/2015 15:04:57	671	3214,26	1,718	1,740	21,710
20/04/2015 15:07:49	734	3386,33	1,604	1,613	21,720
20/04/2015 15:10:41	718	3558,31	1,492	1,492	21,730
20/04/2015 15:15:44	250	3860,84	1,322	-99999,000	21,760

