KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/01/0001
Serial Number	0068

File name	albon_52_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	SteelMeshCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0,5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0,25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0,1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4,59	Standard burette cross-sectional area
A_bur2 [cm²]	0,089	Burette extension internal cross-sectional area
A_sample  [cm²]	50	Sample cross-sectional area	
L_bur [cm]	22,5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0,8	Bottom porous plate height	
L_plate_Top [cm]	0,3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	10	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	20/04/2015 9:35:31
Test duration	00:18:09

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6,59
Fitting Parameter b [s-1]	-1,09E-03
Fitting Parameter c [cm]	,6
Fitting Parameter r2 [-]	0,9984
Ks Total [cm/d]	50
Ks Total [m/s]	5,81E-06
Ks Soil [cm/d]	43
Ks Soil [m/s]	5,01E-06
Ks Soil normalized at 10,0 °C [cm/d]	32
Ks Soil normalized at 10,0 °C [m/s]	3,75E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
20/04/2015 9:35:31	125	-3,84	4,735	-99999,000	20,780
20/04/2015 9:35:32	968	-2,00	4,316	-99999,000	20,780
20/04/2015 9:35:33	984	-0,98	6,102	-99999,000	20,780
20/04/2015 9:35:34	968	0,00	6,089	6,089	20,780
20/04/2015 9:35:43	968	9,00	5,941	6,025	20,760
20/04/2015 9:36:01	703	26,74	5,831	5,900	20,750
20/04/2015 9:36:03	953	28,98	5,724	5,885	20,750
20/04/2015 9:36:25	140	50,17	5,576	5,740	20,760
20/04/2015 9:36:48	46	73,08	5,473	5,586	20,770
20/04/2015 9:37:04	78	89,11	5,282	5,481	20,770
20/04/2015 9:37:35	546	120,58	5,151	5,280	20,770
20/04/2015 9:37:52	437	137,47	5,015	5,175	20,770
20/04/2015 9:38:13	609	158,64	4,910	5,046	20,770
20/04/2015 9:38:27	62	172,09	4,753	4,966	20,770
20/04/2015 9:39:02	62	207,09	4,648	4,762	20,770
20/04/2015 9:39:19	859	224,89	4,523	4,661	20,770
20/04/2015 9:39:41	953	246,98	4,418	4,539	20,760
20/04/2015 9:39:51	937	256,97	4,281	4,485	20,760
20/04/2015 9:40:27	750	292,78	4,180	4,295	20,760
20/04/2015 9:40:47	218	312,25	4,079	4,194	20,760
20/04/2015 9:40:56	375	321,41	3,956	4,148	20,760
20/04/2015 9:41:35	687	360,72	3,853	3,954	20,780
20/04/2015 9:41:57	796	382,83	3,745	3,848	20,770
20/04/2015 9:42:21	593	406,62	3,643	3,737	20,770
20/04/2015 9:42:41	953	426,98	3,528	3,644	20,770
20/04/2015 9:43:11	765	456,80	3,424	3,512	20,760
20/04/2015 9:43:40	718	485,75	3,323	3,388	20,750
20/04/2015 9:44:07	109	512,14	3,218	3,278	20,750
20/04/2015 9:44:30	93	535,12	3,047	3,185	20,760
20/04/2015 9:45:19	796	584,83	2,930	2,992	20,750
20/04/2015 9:46:00	15	625,05	2,824	2,843	20,750
20/04/2015 9:46:03	156	628,19	2,718	2,831	20,750
20/04/2015 9:46:58	843	683,87	2,615	2,636	20,760
20/04/2015 9:47:33	31	718,06	2,513	2,521	20,750
20/04/2015 9:48:02	0	747,03	2,412	2,428	20,740
20/04/2015 9:48:30	968	776,00	2,291	2,337	20,750
20/04/2015 9:49:11	187	816,22	2,186	2,216	20,740
20/04/2015 9:49:51	468	856,50	2,084	2,100	20,740
20/04/2015 9:50:31	625	896,66	1,980	1,989	20,740
20/04/2015 9:50:55	453	920,48	1,809	1,925	20,750
20/04/2015 9:52:01	453	986,49	1,634	1,758	20,740
20/04/2015 9:53:39	296	1084,33	1,530	1,530	20,740
20/04/2015 9:53:40	718	1085,75	1,428	-99999,000	20,740

