t (min)	h (cm)	tension head (cm)	ReservoirArea(m2)
0	16	-5.6	2.20E-04
1	20.3	-5.6	2.20E-04
1.5	22.5	-5.6	2.20E-04
2	24.8	-5.6	2.20E-04
2.5	27	-5.6	2.20E-04
3	29.3	-5.6	2.20E-04
3.5	31.6	-5.6	2.20E-04
4	34.1	-5.6	2.20E-04
4.5	36.5	-5.6	2.20E-04
5	38.9	-5.6	2.20E-04
5.5	41.3	-5.6	2.20E-04
6	43.5	-5.6	2.20E-04
6.5	46.1	-5.6	2.20E-04
7	48.4	-5.6	2.20E-04
7.5	50.6	-5.6	2.20E-04
8	53.1	-5.6	2.20E-04
8.5	55.6	-5.6	2.20E-04
9	58	-5.6	2.20E-04
9.5	60.4	-5.6	2.20E-04
10	62.8	-5.6	2.20E-04
10.5	64.9	-5.6	2.20E-04
11	67.4	-5.6	2.20E-04
11.5	69.7	-5.6	2.20E-04
12	72.1	-5.6	2.20E-04
12.5	74.4	-5.6	2.20E-04
13	22.9	-5.6	2.20E-04
13.5	24.6	-5.6	2.20E-04
14	27	-5.6	2.20E-04
14.5	29.2	-5.6	2.20E-04
15	31.5	-5.6	2.20E-04
0	21	-3.1	3.55E-03
1	21.3	-3.1	3.55E-03
2	21.4	-3.1	3.55E-03
3	21.7	-3.1	3.55E-03
4	22.1	-3.1	3.55E-03
5	22.5	-3.1	3.55E-03
6	23	-3.1	3.55E-03
7	23.2	-3.1	3.55E-03
8	23.6	-3.1	3.55E-03
9	23.9	-3.1	3.55E-03
10	24.2	-3.1	3.55E-03
11	24.5	-3.1	3.55E-03
12	24.8	-3.1	3.55E-03
13	25.2	-3.1	3.55E-03
14	25.6	-3.1	3.55E-03
15	26	-3.1	3.55E-03
0	26.5	-1	3.55E-03
1	27	-1	3.55E-03
2	27.5	-1	3.55E-03
3	28	-1	3.55E-03
4	28.2	-1	3.55E-03
5	28.5	-1	3.55E-03
6	29	-1	3.55E-03
7	29.3	-1	3.55E-03
8	29.6	-1	3.55E-03
9	30.1	-1	3.55E-03
10	30.4	-1	3.55E-03
11	30.7	-1	3.55E-03
12	31	-1	3.55E-03
13	31.3	-1	3.55E-03
