t (min)	h (cm)	tension head (cm)	ReservoirArea(m2)
0	8.2	-12	2.2e-4
1	10.4	-12	2.2e-4
2	12	-12	2.2e-4
3	13.6	-12	2.2e-4
4	15.1	-12	2.2e-4
5	16.6	-12	2.2e-4
6	18.2	-12	2.2e-4
7	19.5	-12	2.2e-4
8	21.1	-12	2.2e-4
9	22.6	-12	2.2e-4
10	23.9	-12	2.2e-4
11	25.2	-12	2.2e-4
12	26.6	-12	2.2e-4
13	28	-12	2.2e-4
14	29.3	-12	2.2e-4
15	30.6	-12	2.2e-4
0	37.5	-6	2.2e-4
0.5	39	-6	2.2e-4
1	40.8	-6	2.2e-4
1.5	42.6	-6	2.2e-4
2	45.8	-6	2.2e-4
2.5	47.4	-6	2.2e-4
3	49	-6	2.2e-4
3.5	50.5	-6	2.2e-4
4	52.1	-6	2.2e-4
4.5	53.6	-6	2.2e-4
5	55.1	-6	2.2e-4
5.5	56.6	-6	2.2e-4
6	58.1	-6	2.2e-4
6.5	59.6	-6	2.2e-4
7	60.9	-6	2.2e-4
7.5	62.4	-6	2.2e-4
8	64	-6	2.2e-4
8.5	65.5	-6	2.2e-4
9	66.9	-6	2.2e-4
9.5	68.3	-6	2.2e-4
10	69.6	-6	2.2e-4
10.5	71.2	-6	2.2e-4
11	72.2	-6	2.2e-4
0	32.3	-3	2.2e-4
1	36.5	-3	2.2e-4
2	40.3	-3	2.2e-4
3	44.4	-3	2.2e-4
4	48	-3	2.2e-4
5	52.1	-3	2.2e-4
6	55.7	-3	2.2e-4
7	59.6	-3	2.2e-4
8	63	-3	2.2e-4
9	66.9	-3	2.2e-4
10	70.5	-3	2.2e-4
11	74.2	-3	2.2e-4
0	15.1	-1	35.5e-4
1	15.7	-1	35.5e-4
2	16.1	-1	35.5e-4
3	17	-1	35.5e-4
4	17.5	-1	35.5e-4
5	17.9	-1	35.5e-4
6	18.3	-1	35.5e-4
7	18.6	-1	35.5e-4
8	18.9	-1	35.5e-4
9	19.4	-1	35.5e-4
10	19.7	-1	35.5e-4
