t (min)	h (cm)	tension head (cm)	ReservoirArea(m2)
0	12.1	-13	2.20E-04
1	14.9	-13	2.20E-04
2	21	-13	2.20E-04
3	25.5	-13	2.20E-04
4	29	-13	2.20E-04
5	32.4	-13	2.20E-04
6	35	-13	2.20E-04
7	37	-13	2.20E-04
8	39.2	-13	2.20E-04
9	41.2	-13	2.20E-04
10	43.2	-13	2.20E-04
0	21.5	-6	2.20E-04
1	23.6	-6	2.20E-04
2	26	-6	2.20E-04
3	28	-6	2.20E-04
4	30	-6	2.20E-04
5	31.8	-6	2.20E-04
6	33.8	-6	2.20E-04
7	35.6	-6	2.20E-04
8	37.5	-6	2.20E-04
9	39	-6	2.20E-04
10	41	-6	2.20E-04
0	22	-3	2.20E-04
1	24.2	-3	2.20E-04
2	26	-3	2.20E-04
3	27.8	-3	2.20E-04
4	29.7	-3	2.20E-04
5	31.7	-3	2.20E-04
6	33.5	-3	2.20E-04
7	35.3	-3	2.20E-04
8	37	-3	2.20E-04
9	38.5	-3	2.20E-04
10	40.4	-3	2.20E-04
11	41.9	-3	2.20E-04
12	43.5	-3	2.20E-04
0	20	-1	2.20E-04
1	21.8	-1	2.20E-04
2	23.6	-1	2.20E-04
3	25.6	-1	2.20E-04
4	27.5	-1	2.20E-04
5	28.7	-1	2.20E-04
6	30.7	-1	2.20E-04
7	32.4	-1	2.20E-04
8	34.1	-1	2.20E-04
9	35.9	-1	2.20E-04
10	37.4	-1	2.20E-04
11	39	-1	2.20E-04
12	40.6	-1	2.20E-04
